#NAME X             Y             Z             SEFDR SEFDL FR_PAR_ANGLE FR_ELEV_ANGLE FR_OFFSET[d] DR_RE   DR_IM   DL_RE    DL_IM 
PDB   4523998.40    468045.240    4460309.760   1600  1600  0            0             0            0       0       0        0
HAY   1492420.4965 -4457272.10037 4296891.72893 2500  2500  0            0             0            0       0       0        0
PV    5088967.9000 -301681.6000   3825015.8000  2900  2900  1            -1            0            0       0       0        0
SMT   -1828796.200 -5054406.800   3427865.200   11900 11900 1            1             0            0.012   0.106   -0.007   0.093
SMA   -5464523.400 -2493147.080   2150611.750   4900  4900  1            -1            45           0.022   0.009   0.008    0.010
LMT   -768713.9637 -5988541.7982  2063275.9472  560   560   1            -1            0            0       0       0        0
ALMA  2225037.1851 -5441199.1620 -2479303.4629  220   220   0            0             0            0       0       0        0
SPT   0.0           0.0          -6359587.3     1600  1600  0            0             0            0       0       0        0
ISS   NaN           NaN           NaN           1600  1600  0            0             0            0       0       0        0
 

