#From: http://www3.mpifr-bonn.mpg.de/div/vlbi/globalmm/
#NAME X             Y             Z            SEFDR SEFDL FR_PAR_ANGLE FR_ELEV_ANGLE FR_OFFSET[d] DR_RE   DR_IM   DL_RE    DL_IM 
FD    -1324009.327  -5332181.955  3231962.395  2500  2500  1             0            0            0       0       0        0 
PT    -1640953.938  -5014816.024  3575411.792  2500  2500  1             0            0            0       0       0        0 
LA    -1449752.584  -4975298.576  3709123.846  2500  2500  1             0            0            0       0       0        0 
KP    -1995678.840  -5037317.697  3357328.025  2500  2500  1             0            0            0       0       0        0 
MK    -5464075.185  -2495248.106  2148297.365  2500  2500  1             0            0            0       0       0        0 
BR    -2112065.206  -3705356.505  4726813.676  2500  2500  1             0            0            0       0       0        0 
NL     -130872.499  -4762317.093  4226851.001  2500  2500  1             0            0            0       0       0        0 
OV    -2409150.402  -4478573.118  3838617.339  2500  2500  1             0            0            0       0       0        0 
ALMA  2225037.1851 -5441199.1620 -2479303.4629  75    75   1             0            0            0       0       0        0 
GBT    882589.983  -4924873.024   3943728.983   250   250  1             0            0            0       0       0        0    
LMT   -768713.9637 -5988541.7982  2063275.9472 1714  1714  1            -1            0            0       0       0        0 
PV    5088967.9000 -301681.6000   3825015.8000 1400  1400  1            -1            0            0       0       0        0
YS	  4848761.8046 -261484.1078   4123085.1096 1200  1200  1             0            0            0       0       0        0 
EB    4033947.2037  486990.8586   4900431.0373 1500  1500  1             0            0            0       0       0        0 
