#Site      X(m)             Y(m)             Z(m)           SEFDR      SEFDL     FR_PAR   FR_EL   FR_OFF  DR_RE    DR_IM    DL_RE    DL_IM   
W04       -1601315.87428   -5041985.32447    3554808.26378   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W08       -1601614.06120   -5042001.67655    3554652.45560   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W12       -1602044.86752   -5042025.83427    3554427.79107   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W16       -1602592.82353   -5042055.01342    3554140.65277   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W20       -1603249.63587   -5042091.41679    3553797.75905   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W24       -1604008.70191   -5042135.83581    3553403.66677   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W28       -1604865.61432   -5042190.03185    3552962.31518   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W32       -1605808.59818   -5042230.07046    3552459.16736   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
W40       -1606841.92319   -5042279.67767    3551912.96333   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E04       -1601068.77119   -5042051.92937    3554824.76736   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E08       -1600801.88060   -5042219.38668    3554706.38228   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E12       -1600416.76602   -5042462.38258    3554536.01918   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E16       -1599926.05941   -5042772.99258    3554319.74284   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E20       -1599340.77166   -5043150.99436    3554065.18599   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E24       -1598663.04640   -5043581.42675    3553766.97336   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E28       -1597899.87436   -5044068.73181    3553432.39888   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E32       -1597053.09556   -5044604.74775    3553058.94731   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
E36       -1596127.70660   -5045193.79814    3552652.36866   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N08       -1601147.88523   -5041733.85511    3555235.91485   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N16       -1601061.91592   -5041175.90771    3556057.98198   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N24       -1600929.96685   -5040316.40179    3557330.27755   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N32       -1600780.99626   -5039347.46356    3558761.48715   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N40       -1600592.69255   -5038121.38064    3560574.80334   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N48       -1600374.80840   -5036704.25301    3562667.85595   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N56       -1600128.31399   -5035104.17725    3565024.64505   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N64       -1599855.57100   -5033332.40332    3567636.57859   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
N72       -1599557.83837   -5031396.39194    3570494.71676   2500.00    2500.00   0.00    0.00    0.00    0.0000   0.0000   0.0000   0.0000 
